,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
2052,Jarron Cumberland,0.7,0.3,1.0,0.3,0.7,0.0,0.0,0.0,3.0,4.0,0.3,0.7,0.5,0.5,0.0,0.0,
2053,Jacob Pullen,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,2.0,0.3,0.7,0.5,0.5,0.0,0.0,
2054,Rubén Wolkowyski,0.7,0.1,0.1,0.0,0.1,0.0,0.0,0.1,7.0,3.4,0.3,0.6,0.5,0.5,0.1,0.6,0.25
2055,Erik Daniels,0.6,0.2,0.9,0.3,0.5,0.1,0.0,0.3,21.0,3.4,0.3,0.9,0.33,0.36,0.0,0.0,
2056,Ty-Shon Alexander,0.6,0.4,0.7,0.1,0.5,0.0,0.1,0.2,15.0,3.1,0.2,0.8,0.25,0.33,0.1,0.1,0.5
2057,Marques Bolden,0.6,0.0,1.5,0.25,1.25,0.65,0.15,0.15,3.5,3.9,0.1,0.25,0.33,0.33,0.4,0.65,0.62
2058,Ike Anigbogu,0.6,0.15,0.9,0.4,0.55,0.05,0.3,0.25,7.0,2.35,0.2,0.9,0.22,0.22,0.25,0.25,0.83
2059,Luis Montero,0.6,0.05,0.65,0.0,0.65,0.0,0.0,0.65,7.0,3.75,0.2,1.05,0.13,0.14,0.15,0.15,0.75
2060,Dennis Horner,0.6,0.0,0.6,0.3,0.4,0.0,0.0,0.1,8.0,2.8,0.1,0.5,0.25,0.25,0.4,0.5,0.75
2061,Sun Yue,0.6,0.2,0.0,0.0,0.0,0.1,0.1,0.3,10.0,2.8,0.3,1.1,0.27,0.27,0.0,0.0,
2062,Steven Smith,0.6,0.0,0.8,0.1,0.6,0.1,0.0,0.3,8.0,3.5,0.3,1.0,0.25,0.25,0.1,0.3,0.5
2063,Hubert Davis,0.57,0.35,0.48,0.08,0.38,0.08,0.0,0.22,19.25,5.95,0.22,0.92,0.15,0.17,0.08,0.08,0.94
2064,Mark Bryant,0.55,0.4,1.12,0.35,0.73,0.05,0.05,0.4,8.0,5.62,0.2,0.88,0.14,0.14,0.18,0.3,0.75
2065,Randy Holcomb,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.0,4.0,2.8,0.3,0.3,1.0,1.0,0.0,0.0,
2066,Sharife Cooper,0.5,0.4,0.4,0.0,0.4,0.0,0.0,0.4,13.0,3.0,0.2,1.1,0.21,0.25,0.0,0.0,
2067,Kirk Haston,0.5,0.3,0.6,0.0,0.6,0.0,0.4,0.6,12.0,4.8,0.2,1.4,0.12,0.12,0.2,0.3,0.5
2068,Charles Cooke,0.5,0.1,0.2,0.0,0.2,0.1,0.0,0.1,13.0,2.9,0.2,1.1,0.14,0.18,0.1,0.2,0.5
2069,London Perrantes,0.5,0.4,0.3,0.1,0.2,0.1,0.1,0.1,14.0,4.7,0.1,0.9,0.15,0.15,0.2,0.4,0.6
2070,Scottie Lewis,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,2.0,3.5,0.0,0.0,,,0.5,1.0,0.5
2071,Tyler Lydon,0.45,0.1,0.35,0.15,0.2,0.05,0.0,0.1,13.0,2.9,0.2,0.35,0.5,0.61,0.0,0.05,0.33
2072,Mark Pope,0.45,0.05,0.85,0.3,0.55,0.2,0.1,0.45,6.5,4.0,0.25,0.6,0.42,0.42,0.0,0.15,0.0
2073,Hamady N'Diaye,0.43,0.07,0.57,0.17,0.4,0.03,0.2,0.13,11.0,3.77,0.17,0.4,0.38,0.38,0.13,0.3,0.25
2074,Michael Gbinije,0.4,0.2,0.3,0.2,0.1,0.0,0.0,0.0,9.0,3.6,0.1,1.1,0.1,0.1,0.2,0.2,1.0
2075,Patrick Ewing,0.4,0.3,0.3,0.1,0.1,0.0,0.1,0.1,7.0,2.7,0.0,0.7,0.0,0.0,0.4,0.6,0.75
2076,Cezary Trybański,0.32,0.02,0.32,0.1,0.22,0.1,0.2,0.32,7.25,3.0,0.08,0.78,0.06,0.06,0.18,0.42,0.47
2077,Erik Murphy,0.3,0.1,0.3,0.1,0.3,0.0,0.2,0.1,24.0,2.6,0.1,0.5,0.23,0.23,0.0,0.0,
2078,Joel Ayayi,0.3,0.6,0.4,0.1,0.3,0.0,0.0,0.0,7.0,2.9,0.1,0.9,0.17,0.17,0.0,0.0,
2079,Aaron Henry,0.3,0.0,0.2,0.0,0.2,0.0,0.3,0.3,6.0,2.8,0.2,0.8,0.2,0.2,0.0,0.0,
2080,Will Conroy,0.3,1.0,0.78,0.3,0.46,0.0,0.0,0.32,4.6,6.82,0.12,1.1,0.08,0.08,0.06,0.5,0.12
2081,Matt Mooney,0.25,0.15,0.4,0.0,0.4,0.75,0.15,0.5,2.5,3.4,0.15,1.0,0.12,0.12,0.0,0.0,
2082,Ruben Boumtje-Boumtje,0.2,0.3,0.3,0.25,0.05,0.25,0.05,0.0,5.5,2.7,0.05,0.55,0.1,0.1,0.1,0.1,1.0
2083,George King,0.15,0.0,1.15,0.0,1.15,0.0,0.0,0.15,2.5,5.4,0.0,0.65,0.0,0.0,0.15,0.25,0.5
2084,Brandin Knight,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,
2085,Donte Grantham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,
2086,Martynas Andriuškevičius,0.0,0.0,0.7,0.2,0.5,0.3,0.0,0.0,6.0,1.5,0.0,0.2,0.0,0.0,0.0,0.0,
2087,Zach Lofton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,
2088,Greg Whittington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.8,0.0,0.0,0.0,0.0,
2089,Slavko Vraneš,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,
