--- When using SR data, please cite us and provide a link and/or a mention.,
,,
,,
 ,,
Rank,Player,PPG
212,Joe Dumars*,16.11
213,Baron Davis,16.10
214,Scottie Pippen*,16.08
215,Brook Lopez,16.07
216,Dave DeBusschere*,16.06
217,Cuttino Mobley,16.02
218,Eddie Johnson,16.02
219,Keith Van Horn,16.01
220,Orlando Woolridge,16.01
221,Joe Johnson,15.98
222,Zelmo Beaty*,15.98
223,Jordan Clarkson,15.96
224,Corey Maggette,15.96
225,Andrew Toney,15.94
226,Elton Brand,15.90
227,Don Ohl,15.89
228,Campy Russell,15.82
229,Dick Barnett*,15.82
230,Willie Naulls,15.79
231,Rudy Gay,15.75
232,Sam Cassell,15.75
233,Billy Knight,15.74
234,Domantas Sabonis,15.74
235,Tyreke Evans,15.74
236,John Collins,15.73
237,Dale Ellis,15.72
238,Norm Nixon,15.71
239,Michael Finley,15.69
240,Dwight Howard,15.69
241,Al Jefferson,15.68
242,Eric Gordon,15.65
243,Xavier McDaniel,15.64
244,Rudy LaRusso,15.63
245,Jack Sikma*,15.62
246,Paul Westphal*,15.56
247,Sidney Moncrief*,15.56
248,Bojan Bogdanović,15.55
249,Buddy Hield,15.54
250,Tony Parker*,15.53
,,
,,
"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leaders/pts_per_g_career.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#nba"">View Original Table</a><br>Generated 10/20/2024.",,
