,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
0,Markelle Fultz,23.2,5.9,5.7,1.3,4.4,1.6,1.2,3.2,25.0,35.7,8.4,17.6,0.48,0.54,4.4,6.7,0.65
2,Deandre Ayton,20.1,1.6,11.6,3.4,8.2,0.6,1.9,2.0,35.0,33.5,7.9,12.9,0.61,0.62,4.0,5.5,0.73
3,Joe Young,19.8,2.85,3.6,0.65,3.0,1.2,0.0,1.75,35.0,33.9,6.75,14.5,0.46,0.55,4.0,4.45,0.9
4,Torian Graham,18.6,1.2,4.2,0.6,3.6,0.9,0.3,1.3,33.0,34.8,7.0,15.5,0.45,0.55,1.4,1.7,0.82
5,Jahii Carson,18.55,4.85,3.85,0.6,3.25,0.95,0.1,3.5,34.0,36.3,6.5,14.35,0.45,0.49,4.5,6.25,0.73
6,Brock Motum,18.35,1.35,6.35,1.85,4.45,0.6,0.6,2.7,33.0,33.4,6.65,13.25,0.5,0.55,4.0,5.4,0.74
7,Derrick White,18.1,4.4,4.1,1.0,3.1,1.2,1.4,2.4,34.0,32.8,6.0,11.9,0.51,0.58,4.4,5.4,0.81
8,Tres Tinkle,18.04,2.82,7.16,1.46,5.74,1.64,0.58,2.56,25.2,33.98,5.86,12.78,0.46,0.51,5.0,6.38,0.79
9,Jared Cunningham,17.9,2.8,3.8,1.0,2.8,2.5,0.4,2.8,36.0,34.6,5.5,12.2,0.45,0.51,5.5,7.5,0.74
10,Shabazz Muhammad,17.9,0.8,5.2,2.7,2.5,0.7,0.1,1.6,32.0,30.8,6.3,14.3,0.44,0.49,4.0,5.6,0.71
11,Keion Brooks Jr.,17.7,1.4,6.7,1.5,5.2,0.7,1.2,3.2,30.0,35.5,6.2,14.3,0.43,0.47,4.2,5.3,0.79
12,Eugene Omoruyi,17.1,2.3,5.4,2.3,3.2,1.5,0.6,2.3,28.0,30.6,6.2,13.1,0.47,0.53,3.3,4.3,0.76
13,Isaiah Stewart,17.0,0.8,8.8,2.8,6.0,0.5,2.1,2.2,32.0,32.2,6.0,10.5,0.57,0.58,4.8,6.2,0.77
14,Allen Crabbe,16.8,2.35,5.9,0.95,4.95,0.8,0.65,2.05,33.5,35.15,5.9,13.2,0.44,0.53,2.8,3.4,0.83
15,Allonzo Trier,16.7,2.33,3.87,0.33,3.57,0.5,0.2,1.9,26.0,31.33,5.07,10.63,0.48,0.56,4.77,5.8,0.82
16,Devoe Joseph,16.7,3.3,3.8,0.6,3.1,1.4,0.1,1.9,28.0,35.3,5.9,12.5,0.47,0.57,2.5,3.1,0.8
17,CJ Elleby,16.55,2.45,7.45,1.4,6.05,1.4,0.7,2.6,32.0,32.2,5.75,13.8,0.42,0.49,3.2,4.25,0.74
18,Isaac Bonton,16.5,4.0,3.85,0.5,3.3,1.6,0.2,3.55,24.5,34.05,5.6,15.35,0.37,0.43,3.45,4.75,0.75
19,Chasson Randle,16.45,2.45,3.25,0.55,2.72,1.15,0.1,2.22,36.0,33.25,5.3,12.32,0.43,0.52,3.82,4.75,0.8
20,C.J. Wilcox,16.43,1.87,3.8,0.9,2.9,1.0,0.9,1.63,32.67,32.73,5.63,12.87,0.44,0.53,2.77,3.33,0.84
21,Evan Mobley,16.4,2.4,8.7,2.7,5.9,0.8,2.9,2.2,33.0,33.9,6.0,10.3,0.58,0.6,4.1,5.8,0.69
22,Terrence Ross,16.4,1.4,6.4,1.4,5.1,1.3,0.9,2.0,35.0,31.1,6.1,13.4,0.46,0.53,2.1,2.7,0.77
23,Jordan Adams,16.35,2.05,4.55,1.25,3.35,2.4,0.25,1.35,34.5,30.2,5.4,11.55,0.47,0.53,4.15,4.95,0.84
24,TJ Leaf,16.3,2.4,8.2,2.2,6.0,0.6,1.1,1.5,35.0,29.9,6.7,10.9,0.62,0.65,2.1,3.0,0.68
25,Onyeka Okongwu,16.2,1.1,8.6,3.3,5.4,1.2,2.7,2.0,28.0,30.6,6.3,10.1,0.62,0.62,3.7,5.1,0.72
26,Dejounte Murray,16.1,4.4,6.0,1.4,4.6,1.8,0.3,3.2,34.0,33.5,5.9,14.3,0.42,0.45,3.2,4.9,0.66
27,Jaylen Nowell,16.1,2.9,4.65,1.0,3.65,1.2,0.3,2.7,35.0,33.45,6.05,12.65,0.48,0.53,2.75,3.55,0.79
28,Luguentz Dort,16.1,2.3,4.3,1.3,3.0,1.5,0.2,2.9,34.0,31.5,5.1,12.6,0.4,0.47,4.3,6.1,0.7
29,Zeke Nnaji,16.1,0.8,8.6,3.1,5.5,0.7,0.9,2.2,32.0,30.7,5.6,9.8,0.57,0.58,4.8,6.3,0.76
30,Tony Wroten,16.0,3.7,5.0,2.3,2.7,1.9,0.4,3.8,35.0,30.3,5.7,12.8,0.44,0.45,4.4,7.5,0.58
